Rank,Absolute Error,Relative Error,NMSE,NMSE (dB),Parameters,Execution Time (s),NMSE_Normalized,Complexity_Normalized,Time_Normalized,Balanced Score
1.0,0.0017014432232826948,0.3007223308086395,0.09043393284082413,-10.436686515808104,1051.0,7.081936597824097,1.0,0.0,0.0,0.5
2.0,0.0011847387067973612,0.209397166967392,0.04384716600179672,-13.580584526062012,2102.0,10.636783838272095,0.4456489865419925,0.25,0.6097541126405064,0.43776302143112283
3.0,0.0009130965336225927,0.1613856554031372,0.02604532055556774,-15.842702865600584,3153.0,11.559785366058348,0.23381906714366502,0.5,0.7680742708564221,0.43392810128593806
4.0,0.0006397936376743019,0.11308061331510544,0.012787229381501675,-18.93223571777344,4204.0,12.402069807052612,0.07605675012652582,0.75,0.912549227773175,0.45366568200655666
5.0,0.00045247076195664704,0.07997214794158934,0.006395542528480291,-21.94122505187988,5255.0,12.911905050277708,0.0,1.0,1.0,0.5
