Rank,Absolute Error,Relative Error,NMSE,NMSE (dB),Parameters,Execution Time (s)
1,7.004052770781026,0.2542359760995861,0.06463593154330932,-11.895259876898095,1019,0.032981157302856445
2,3.64275060129606,0.13222605327466516,0.017483729164594588,-17.57365929660828,2038,0.745079755783081
3,2.7449897466011275,0.09963876207812647,0.009927882908461494,-20.031433536395575,3057,0.6051955223083496
4,1.8523287541139872,0.06723658776873924,0.004520758734783376,-23.44788669906244,4076,0.5689125061035156
5,1.472200582177982,0.05343853969601964,0.002855677524843066,-25.442908364926357,5095,0.7596564292907715
