Rank,3D NMSE (dB),4D NMSE (dB),3D Parameters,4D Parameters,3D Time (s),4D Time (s)
1,-11.895259876898097,-10.436686515808104,1019,1051.0,0.0329811573028564,7.081936597824097
2,-17.57365929660828,-13.580584526062012,2038,2102.0,0.745079755783081,10.636783838272095
3,-20.03143353639557,-15.842702865600584,3057,3153.0,0.6051955223083496,11.559785366058348
4,-23.44788669906244,-18.93223571777344,4076,4204.0,0.5689125061035156,12.402069807052612
5,-25.44290836492636,-21.94122505187988,5095,5255.0,0.7596564292907715,12.911905050277708
