Rank,Absolute Error,Relative Error,NMSE,NMSE (dB),Parameters,Execution Time (s)
1.000000000000000000e+00,1.701443223282694817e-03,3.007223308086395264e-01,9.043393284082412720e-02,-1.043668651580810547e+01,1.051000000000000000e+03,7.081936597824096680e+00
2.000000000000000000e+00,1.184738706797361374e-03,2.093971669673919678e-01,4.384716600179672241e-02,-1.358058452606201172e+01,2.102000000000000000e+03,1.063678383827209473e+01
3.000000000000000000e+00,9.130965336225926876e-04,1.613856554031372070e-01,2.604532055556774139e-02,-1.584270286560058594e+01,3.153000000000000000e+03,1.155978536605834961e+01
4.000000000000000000e+00,6.397936376743018627e-04,1.130806133151054382e-01,1.278722938150167465e-02,-1.893223571777343750e+01,4.204000000000000000e+03,1.240206980705261230e+01
5.000000000000000000e+00,4.524707619566470385e-04,7.997214794158935547e-02,6.395542528480291367e-03,-2.194122505187988281e+01,5.255000000000000000e+03,1.291190505027770996e+01
